station,x,y
Gapyeong,127.5107574,37.8145761
Uijeongbu Jung-ang,127.0497559,37.7436853
National Cemetery,127.3214881,36.3594103
Gyeonggi Provincial Government Northern Office,127.0716196,37.750721
Terminal 1,126.4504519,37.449692
Daeya,126.8242542,35.944932
Baekyangri,127.5891858,37.8308012
Children's World,128.6244446,35.8451556
Jisan,128.6319028,35.8251867
Wolgot,126.7427001,37.3917938
Soraepogu,126.733525,37.400917
Yongdap,127.0508609,37.56209
Yongdu,127.0380657,37.5740737
Seobusan Yutongjigu,128.954937,35.1663907
Cheolsan,126.8675973,37.4760012
Gyeryong,127.2665313,36.2724063
Seodaemun,126.9666351,37.5657953
Daeti,128.9999412,35.1031541
Natgae,128.979733,35.0652983
Dapsipri,127.0526992,37.5668136
BIT Zone,126.645923,37.3774709
Technopark,126.6562543,37.3823022
Campus Town,126.6618928,37.3881737
Gwanak,126.9091539,37.4187236
Pyeongdong,126.7695968,35.1248086
Dogok,127.0554679,37.4909056
Imae,127.1284003,37.39464
Gimpo Int'l Airport,126.8021335,37.5619626
Gubanpo,126.9867849,37.5012899
Sinbanpo,126.996418,37.5036014
Seonyudo,126.8939823,37.5378593
Jeungmi,126.8618185,37.5575102
Airport Market,126.8106016,37.5636577
Sindorim,126.8912262,37.5089397
Yangcheon-gu Office,126.865945,37.512295
Sinjeongnegeori,126.8530463,37.5199831
Cheongna Hill,128.582392,35.8641948
Sinchon,126.9369084,37.5551517
Gunsan,126.7602959,35.9993608
Balsan,126.8374653,37.5584951
Daebang,126.9251737,37.5125806
Samcheok,129.1776977,37.430357
Seoul Nat'l Univ. Venture Town,126.9337059,37.4720025
Boramae Park,126.9181903,37.4952932
Boramae,126.9204736,37.5002811
Seoul Regional Office of Military Manpower,126.9227236,37.5059628
Gumyeong,128.9995184,35.2027962
Seolleung,127.0489508,37.5044746
