EA_CODE,month,NDVI
10501004,12,3853.411376953125
10501006,1,5177.1982421875
10501006,2,6573.13916015625
10501006,3,6176.84912109375
10501006,4,6207.16357421875
10501006,5,5336.17822265625
10501006,6,4301.46337890625
10501006,7,3879.2919921875
10501006,8,3438.37744140625
10501006,9,3032.78857421875
10501006,10,3171.88623046875
10501006,11,3194.7294921875
10501006,12,3579.384521484375
10501012,1,4903.74560546875
10501012,2,6978.54248046875
10501012,3,6469.50146484375
10501012,4,6388.73046875
10501012,5,5625.21630859375
10501012,6,4421.49462890625
10501012,7,3944.226806640625
10501012,8,3485.904052734375
10501012,9,3121.837646484375
10501012,10,3161.07275390625
10501012,11,3263.139404296875
10501012,12,3364.89208984375
10501013,1,5335.791015625
10501013,2,6111.55078125
10501013,3,6257.5185546875
10501013,4,6505.30517578125
10501013,5,5805.34814453125
10501013,6,4672.15283203125
10501013,7,4106.783203125
10501013,8,3589.3125
10501013,9,3299.443603515625
10501013,10,3417.95166015625
10501013,11,3445.716552734375
10501013,12,3824.901123046875
10501022,1,4444.5302734375
10501022,2,6077.4619140625
10501022,3,5817.10595703125
10501022,4,6228.60009765625
10501022,5,5414.4033203125
10501022,6,4384.81884765625
10501022,7,3832.2109375
10501022,8,3302.246337890625
10501022,9,3013.067626953125
10501022,10,3053.50537109375
10501022,11,3122.260498046875
10501022,12,3198.302001953125
10501023,1,4363.314453125
10501023,2,6259.31689453125
10501023,3,6026.88427734375
10501023,4,6232.82470703125
10501023,5,5407.998046875
10501023,6,4444.19140625
10501023,7,3996.039306640625
10501023,8,3586.34326171875
10501023,9,3196.325439453125
10501023,10,3263.562744140625
10501023,11,3200.53857421875
10501023,12,2980.51416015625
10501024,1,5028.4189453125
10501024,2,7015.17529296875
10501024,3,6317.05224609375
10501024,4,6372.88916015625
10501024,5,5139.44580078125
10501024,6,3956.148681640625
10501024,7,3447.60595703125
10501024,8,2992.608642578125
10501024,9,2657.261962890625
10501024,10,2600.92626953125
10501024,11,2562.29736328125
10501024,12,2480.8720703125
10501017,1,5575.75390625
10501017,2,7046.244140625
10501017,3,6849.78857421875
10501017,4,6885.20361328125
10501017,5,6129.59228515625
10501017,6,5149.79150390625
10501017,7,4346.2431640625
10501017,8,3732.414306640625
10501017,9,3302.605712890625
10501017,10,3423.774169921875
10501017,11,3453.08642578125
10501017,12,4050.334716796875
10501097,1,3938.212158203125
10501097,2,5881.7919921875
10501097,3,5813.74072265625
10501097,4,5131.259765625
10501097,5,4626.09130859375
10501097,6,3811.873291015625
10501097,7,3439.720703125
10501097,8,3033.645263671875
10501097,9,2729.845458984375
10501097,10,2829.52587890625
10501097,11,2884.621337890625
10501097,12,2755.875
10501085,1,5513.33447265625
10501085,2,6309.74462890625
10501085,3,6510.23583984375
10501085,4,6257.32373046875
10501085,5,5764.55078125
10501085,6,4691.30322265625
10501085,7,4109.09765625
10501085,8,3479.34228515625
10501085,9,3245.984619140625
10501085,10,3435.35498046875
10501085,11,3384.252197265625
10501085,12,3560.12744140625
10501145,1,4476.431640625
10501145,2,5839.34423828125
10501145,3,5747.318359375
10501145,4,5384.62744140625
10501145,5,4926.78857421875
10501145,6,4352.29150390625
10501145,7,4056.145751953125
10501145,8,3547.499267578125
10501145,9,3222.697265625
10501145,10,3264.245361328125
10501145,11,3182.5087890625
10501145,12,3523.919921875
10501138,1,4250.34375
10501138,2,5603.9326171875
10501138,3,5818.69873046875
10501138,4,5447.103515625
10501138,5,4618.81298828125
10501138,6,3937.90234375
10501138,7,3542.568359375
10501138,8,3207.41064453125
10501138,9,2938.345703125
10501138,10,2986.222412109375
10501138,11,2763.115966796875
10501138,12,3059.36376953125
10501144,1,4171.71533203125
10501144,2,5966.52685546875
10501144,3,6142.421875
10501144,4,5199.92578125
10501144,5,4808.57763671875
10501144,6,3986.1318359375
10501144,7,3689.810791015625
10501144,8,3279.089599609375
10501144,9,2827.44140625
10501144,10,2991.035888671875
10501144,11,2928.0712890625
10501144,12,3048.6630859375
10501155,1,4218.1015625
10501155,2,6057.11279296875
10501155,3,5891.8291015625
10501155,4,5488.61181640625
10501155,5,4730.419921875
10501155,6,3956.309814453125
10501155,7,3665.82275390625
10501155,8,3149.050048828125
10501155,9,2816.2802734375
10501155,10,2914.49560546875
10501155,11,2847.728515625
10501155,12,3087.517578125
10501171,1,5250.94873046875
10501171,2,6642.02783203125
10501171,3,6836.05615234375
10501171,4,5857.3994140625
10501171,5,4790.63818359375
10501171,6,4125.8828125
10501171,7,3662.32177734375
10501171,8,3164.53759765625
10501171,9,2725.888671875
10501171,10,2738.76513671875
10501171,11,2665.14453125
10501171,12,3619.7958984375
10501129,1,4993.59765625
10501129,2,5627.05029296875
10501129,3,5766.72607421875
10501129,4,5473.44287109375
10501129,5,5037.90185546875
10501129,6,4113.84814453125
10501129,7,3776.797607421875
10501129,8,3321.8310546875
10501129,9,3123.1728515625
10501129,10,3140.25537109375
10501129,11,3087.877197265625
10501129,12,4255.96044921875
10501157,1,5580.8193359375
10501157,2,6596.056640625
10501157,3,6475.43798828125
10501157,4,5976.26806640625
10501157,5,5009.33984375
10501157,6,4225.74560546875
10501157,7,3840.033203125
10501157,8,3400.762451171875
10501157,9,2968.77783203125
10501157,10,3062.257080078125
10501157,11,2999.103271484375
10501157,12,3096.9892578125
10501161,1,5342.2119140625
10501161,2,6457.0498046875
10501161,3,6658.77197265625
10501161,4,5672.83544921875
10501161,5,4670.72216796875
10501161,6,3968.622314453125
10501161,7,3676.515625
10501161,8,3183.531982421875
10501161,9,2659.92138671875
10501161,10,2703.30908203125
10501161,11,2686.847900390625
10501161,12,2995.47216796875
10501121,1,3724.361572265625
10501121,2,6187.09716796875
10501121,3,6006.001953125
10501121,4,5660.67236328125
10501121,5,4989.6474609375
10501121,6,3979.258056640625
10501121,7,3515.91650390625
10501121,8,3075.2861328125
10501121,9,2820.646484375
10501121,10,2686.050048828125
10501121,11,2748.796875
10501121,12,3087.9853515625
10501122,1,4303.72119140625
10501122,2,5884.86572265625
10501122,3,6152.9853515625
10501122,4,5680.08740234375
10501122,5,5166.30517578125
10501122,6,4236.2236328125
10501122,7,3869.574951171875
10501122,8,3382.8916015625
10501122,9,3110.49658203125
10501122,10,2951.345947265625
10501122,11,3213.985107421875
10501122,12,3458.245361328125
10501167,1,5115.11083984375
10501167,2,6481.21875
10501167,3,6614.01611328125
10501167,4,5945.0244140625
10501167,5,4814.03125
10501167,6,4234.2783203125
10501167,7,3876.723388671875
10501167,8,3413.109619140625
10501167,9,2796.978759765625
10501167,10,2906.437255859375
10501167,11,2928.02978515625
10501167,12,3903.064697265625
10501078,1,4962.6181640625
10501078,2,6185.22119140625
10501078,3,6347.0634765625
10501078,4,6523.2763671875
10501078,5,5681.1630859375
10501078,6,4559.21337890625
10501078,7,4035.342529296875
10501078,8,3467.815673828125
10501078,9,3228.141845703125
10501078,10,3117.904052734375
10501078,11,3082.707275390625
10501078,12,4354.26513671875
10501108,1,4518.5673828125
10501108,2,5615.54443359375
10501108,3,5719.2421875
10501108,4,5337.767578125
10501108,5,4126.8955078125
10501108,6,3477.18408203125
10501108,7,3126.89453125
10501108,8,2850.384521484375
10501108,9,2591.751220703125
10501108,10,2571.956787109375
10501108,11,2574.625
10501108,12,2899.192626953125
10501106,1,4450.33251953125
10501106,2,6590.2216796875
10501106,3,6418.8359375
10501106,4,6109.7841796875
10501106,5,5257.3720703125
10501106,6,4281.65234375
10501106,7,3935.78369140625
10501106,8,3488.3447265625
10501106,9,3002.9931640625
10501106,10,2975.331787109375
10501106,11,3089.317626953125
10501106,12,3680.704833984375
10501019,1,4851.373046875
10501019,2,6749.83251953125
10501019,3,6156.640625
10501019,4,6393.7177734375
10501019,5,4937.03125
10501019,6,3926.635986328125
10501019,7,3409.78955078125
10501019,8,3067.946044921875
10501019,9,2771.62353515625
10501019,10,2704.118896484375
10501019,11,2649.539794921875
10501019,12,2502.781494140625
10501005,1,4898.93896484375
10501005,2,6515.44775390625
10501005,3,6018.84912109375
10501005,4,6309.78662109375
10501005,5,5203.701171875
10501005,6,4171.88916015625
10501005,7,3779.846923828125
10501005,8,3459.494384765625
10501005,9,3023.273193359375
10501005,10,3075.381103515625
10501005,11,3041.715576171875
10501005,12,3211.559814453125
10501020,1,5227.279296875
10501020,2,6647.32666015625
10501020,3,5983.0732421875
10501020,4,6507.716796875
10501020,5,5223.46630859375
10501020,6,4239.97314453125
10501020,7,3689.11083984375
10501020,8,3369.0888671875
10501020,9,2960.8427734375
10501020,10,3007.533935546875
10501020,11,2963.265380859375
10501020,12,3275.2275390625
10501014,1,5103.91796875
10501014,2,6041.2802734375
10501014,3,6231.29248046875
10501014,4,6312.60009765625
10501014,5,5437.12890625
10501014,6,4559.390625
10501014,7,4111.75537109375
10501014,8,3623.934326171875
10501014,9,3337.1826171875
10501014,10,3314.5634765625
10501014,11,3368.36083984375
10501014,12,3622.17724609375
10501016,1,5438.59228515625
10501016,2,6356.875
10501016,3,6151.76123046875
10501016,4,6585.9189453125
10501016,5,5686.7421875
10501016,6,4688.12158203125
10501016,7,4195.861328125
10501016,8,3709.86328125
10501016,9,3295.696044921875
10501016,10,3375.590087890625
10501016,11,3458.977783203125
10501016,12,3688.690185546875
10501018,1,4936.12841796875
10501018,2,6240.916015625
10501018,3,6305.57177734375
10501018,4,6517.3984375
10501018,5,5280.90478515625
10501018,6,4381.49755859375
10501018,7,3916.333984375
10501018,8,3460.962158203125
10501018,9,3111.515869140625
10501018,10,3243.9873046875
10501018,11,3127.468017578125
10501018,12,3146.933349609375
10501061,1,4838.60888671875
10501061,2,6645.36376953125
10501061,3,6305.90478515625
10501061,4,5812.0087890625
10501061,5,5106.076171875
10501061,6,4238.53564453125
10501061,7,3823.453369140625
10501061,8,3390.423095703125
10501061,9,3118.782958984375
10501061,10,3070.610595703125
10501061,11,2984.750244140625
10501061,12,4234.505859375
10501060,1,5043.47998046875
10501060,2,6646.4912109375
10501060,3,6422.9990234375
10501060,4,6004.15087890625
10501060,5,5283.0771484375
10501060,6,4128.17529296875
10501060,7,3767.04248046875
10501060,8,3268.713134765625
10501060,9,2929.112548828125
10501060,10,2869.48095703125
10501060,11,2941.106689453125
10501060,12,3526.56298828125
10501105,1,4848.1845703125
10501105,2,6432.75537109375
10501105,3,6181.74462890625
10501105,4,5775.8896484375
10501105,5,4929.43115234375
10501105,6,4158.3984375
10501105,7,3826.1591796875
10501105,8,3375.69921875
10501105,9,2961.654541015625
10501105,10,3133.938720703125
10501105,11,3170.9990234375
10501105,12,4742.9892578125
10501059,1,5103.28564453125
10501059,2,6326.34765625
10501059,3,5993.36181640625
10501059,4,5558.673828125
10501059,5,4822.45361328125
10501059,6,3888.177490234375
10501059,7,3524.485107421875
10501059,8,3078.75341796875
10501059,9,2760.84228515625
10501059,10,2847.6005859375
10501059,11,2804.214111328125
10501059,12,4202.11962890625
10501103,1,4541.6455078125
10501103,2,6273.38671875
10501103,3,6129.1904296875
10501103,4,5569.63720703125
10501103,5,4925.97119140625
10501103,6,3929.1396484375
10501103,7,3593.134765625
10501103,8,3222.0029296875
10501103,9,2799.6552734375
10501103,10,2801.25537109375
10501103,11,2826.7421875
10501103,12,3180.01171875
10501107,1,4746.0556640625
10501107,2,6563.7890625
10501107,3,6440.57568359375
10501107,4,5656.798828125
10501107,5,5162.1923828125
10501107,6,4251.45458984375
10501107,7,3841.6630859375
10501107,8,3431.360595703125
10501107,9,3068.91650390625
10501107,10,3149.25927734375
10501107,11,3106.268310546875
10501107,12,3623.29052734375
10501104,1,6047.0205078125
10501104,2,6583.953125
10501104,3,6133.3056640625
10501104,4,5589.7451171875
10501104,5,4638.6181640625
10501104,6,3746.79296875
10501104,7,3490.35546875
10501104,8,3111.60595703125
10501104,9,2709.923095703125
10501104,10,2734.201171875
10501104,11,2835.6220703125
10501104,12,3761.985107421875
10501109,1,5045.41259765625
10501109,2,5847.00244140625
10501109,3,5912.955078125
10501109,4,4816.6767578125
10501109,5,4385.98193359375
10501109,6,3641.03466796875
10501109,7,3417.427490234375
10501109,8,3065.189697265625
10501109,9,2775.5185546875
10501109,10,2914.64111328125
10501109,11,2930.20654296875
10501109,12,3313.547607421875
10501067,1,4975.49755859375
10501067,2,6688.205078125
10501067,3,6119.9228515625
10501067,4,6017.123046875
10501067,5,5019.87451171875
10501067,6,4134.96533203125
10501067,7,3673.0654296875
10501067,8,3216.069091796875
10501067,9,2883.937744140625
10501067,10,2964.602783203125
10501067,11,2804.815185546875
10501067,12,3265.494140625
10501110,1,4907.54736328125
10501110,2,6573.466796875
10501110,3,6311.9658203125
10501110,4,5676.4248046875
10501110,5,5154.45654296875
10501110,6,4524.9931640625
10501110,7,4119.404296875
10501110,8,3534.29345703125
10501110,9,3097.422607421875
10501110,10,3341.382080078125
10501110,11,3453.976318359375
10501110,12,4224.4375
10501111,1,4515.7919921875
10501111,2,6230.9453125
10501111,3,5748.5048828125
10501111,4,5379.9482421875
10501111,5,4815.35888671875
10501111,6,4177.25146484375
10501111,7,3824.8271484375
10501111,8,3333.227783203125
10501111,9,2954.285888671875
10501111,10,3280.4150390625
10501111,11,3425.0126953125
10501111,12,4183.67236328125
10501101,1,4695.841796875
10501101,2,6665.001953125
10501101,3,6204.646484375
10501101,4,5514.4482421875
10501101,5,4764.5595703125
10501101,6,4061.65673828125
10501101,7,3810.33251953125
10501101,8,3392.0390625
10501101,9,2993.57666015625
10501101,10,3278.234375
10501101,11,3315.5341796875
10501101,12,3588.339599609375
10501114,1,4666.88330078125
10501114,2,5645.458984375
10501114,3,5735.30810546875
10501114,4,5002.2685546875
10501114,5,4256.58935546875
10501114,6,3547.35498046875
10501114,7,3204.0048828125
10501114,8,2783.835693359375
10501114,9,2571.766357421875
10501114,10,2628.1298828125
10501114,11,2699.371826171875
10501114,12,3291.355224609375
10501117,1,5274.07958984375
10501117,2,6156.05615234375
10501117,3,6069.21044921875
10501117,4,5553.36376953125
10501117,5,4832.8291015625
10501117,6,3843.241455078125
10501117,7,3521.345947265625
10501117,8,3038.145263671875
10501117,9,2811.63818359375
10501117,10,2705.740478515625
10501117,11,2799.48828125
10501117,12,3072.275390625
10501098,1,3614.27197265625
10501098,2,6188.78662109375
10501098,3,6086.97998046875
10501098,4,5141.083984375
10501098,5,4426.06982421875
10501098,6,3579.6640625
10501098,7,3311.660400390625
10501098,8,2874.90869140625
10501098,9,2681.267822265625
10501098,10,2592.909912109375
10501098,11,2567.05859375
10501098,12,3201.6328125
10501112,1,3806.589111328125
10501112,2,5667.732421875
10501112,3,5620.5625
10501112,4,4977.41845703125
10501112,5,4353.29345703125
10501112,6,3695.87890625
10501112,7,3361.042236328125
10501112,8,2999.50830078125
10501112,9,2723.740234375
10501112,10,2864.115478515625
10501112,11,2932.7197265625
10501112,12,3018.87646484375
10501099,1,3860.76513671875
10501099,2,6515.8994140625
10501099,3,6321.54638671875
10501099,4,5618.505859375
10501099,5,5102.22802734375
10501099,6,4294.8603515625
10501099,7,3851.601318359375
10501099,8,3342.36328125
10501099,9,2919.697265625
10501099,10,3115.8759765625
10501099,11,3143.07177734375
10501099,12,3491.049072265625
10501100,1,4466.927734375
10501100,2,6576.05810546875
10501100,3,6201.39111328125
10501100,4,5504.46484375
10501100,5,4879.19091796875
10501100,6,4238.8818359375
10501100,7,3937.72705078125
10501100,8,3495.8935546875
10501100,9,3114.748779296875
10501100,10,3320.3984375
10501100,11,3460.34423828125
10501100,12,2876.784912109375
10501115,1,4397.7568359375
10501115,2,5922.9384765625
10501115,3,6093.7021484375
10501115,4,5430.6904296875
10501115,5,4630.40380859375
10501115,6,3619.9375
10501115,7,3296.478515625
10501115,8,2837.777099609375
10501115,9,2632.317138671875
10501115,10,2558.731689453125
10501115,11,2701.75244140625
10501115,12,3279.0205078125
10501095,1,4646.7705078125
10501095,2,6067.6640625
10501095,3,5949.81591796875
10501095,4,5258.99169921875
10501095,5,4764.30419921875
10501095,6,3948.54931640625
10501095,7,3624.78271484375
10501095,8,3191.451171875
10501095,9,2925.36767578125
10501095,10,3044.021728515625
10501095,11,3042.12548828125
10501095,12,2849.168212890625
10501113,1,4046.020263671875
10501113,2,5369.03759765625
10501113,3,5414.62646484375
10501113,4,4640.4150390625
10501113,5,4065.055908203125
10501113,6,3426.70263671875
10501113,7,3167.92041015625
10501113,8,2756.723876953125
10501113,9,2503.938720703125
10501113,10,2520.15234375
10501113,11,2435.11279296875
10501113,12,3104.98828125
10501096,1,4382.77294921875
10501096,2,6012.69677734375
10501096,3,6038.84423828125
10501096,4,5409.3193359375
10501096,5,4583.29736328125
10501096,6,3807.248779296875
10501096,7,3449.135986328125
10501096,8,3021.95458984375
10501096,9,2738.98291015625
10501096,10,2783.101806640625
10501096,11,2978.242919921875
10501096,12,2883.3056640625
10501118,1,5348.7060546875
10501118,2,6245.30712890625
10501118,3,6162.50390625
10501118,4,5529.60205078125
10501118,5,4719.02587890625
10501118,6,3829.65771484375
10501118,7,3461.140380859375
10501118,8,3000.75146484375
10501118,9,2654.67236328125
10501118,10,2738.58642578125
10501118,11,2876.625732421875
10501118,12,2865.450439453125
10501119,1,5317.966796875
10501119,2,6418.46826171875
10501119,3,6304.45556640625
10501119,4,5837.1826171875
10501119,5,5123.10400390625
10501119,6,4055.090576171875
10501119,7,3802.318115234375
10501119,8,3332.35107421875
10501119,9,2937.08251953125
10501119,10,2947.787841796875
10501119,11,2938.568359375
10501119,12,3024.109375
10501116,1,5224.39697265625
10501116,2,5961.662109375
10501116,3,6067.54931640625
10501116,4,5740.1162109375
10501116,5,4710.166015625
10501116,6,3922.662109375
10501116,7,3574.8974609375
10501116,8,3140.195068359375
10501116,9,2813.04833984375
10501116,10,2868.547119140625
10501116,11,3063.12255859375
10501116,12,3443.124755859375
10501041,1,5218.8759765625
10501041,2,6783.19189453125
10501041,3,6147.5263671875
10501041,4,5891.10400390625
10501041,5,5265.78369140625
10501041,6,4092.268310546875
10501041,7,3628.681884765625
