GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13107970500,"Census Tract 9705, Emanuel County, Georgia",1341,91,16,351,31,13
1400000US13107970601,"Census Tract 9706.01, Emanuel County, Georgia",2136,311,136,744,97,71
1400000US13107970602,"Census Tract 9706.02, Emanuel County, Georgia",2650,520,42,255,0,0
1400000US13109970100,"Census Tract 9701, Evans County, Georgia",2586,251,511,478,23,321
1400000US13109970200,"Census Tract 9702, Evans County, Georgia",3890,1030,179,915,522,0
1400000US13109970300,"Census Tract 9703, Evans County, Georgia",3664,1522,551,993,474,258
1400000US13111050100,"Census Tract 501, Fannin County, Georgia",3756,0,75,409,0,40
1400000US13111050200,"Census Tract 502, Fannin County, Georgia",7098,0,392,826,0,28
1400000US13111050300,"Census Tract 503, Fannin County, Georgia",2299,0,34,109,0,11
1400000US13111050400,"Census Tract 504, Fannin County, Georgia",7464,0,96,758,0,26
1400000US13111050500,"Census Tract 505, Fannin County, Georgia",4845,14,48,602,5,0
1400000US13113140102,"Census Tract 1401.02, Fayette County, Georgia",5822,2405,337,422,2,13
1400000US13113140103,"Census Tract 1401.03, Fayette County, Georgia",1703,709,353,14,0,0
1400000US13113140104,"Census Tract 1401.04, Fayette County, Georgia",6429,4899,237,440,90,0
1400000US13113140203,"Census Tract 1402.03, Fayette County, Georgia",6179,1863,161,171,60,13
1400000US13113140204,"Census Tract 1402.04, Fayette County, Georgia",5582,1831,1208,249,158,0
1400000US13113140206,"Census Tract 1402.06, Fayette County, Georgia",4154,178,348,153,0,8
1400000US13113140207,"Census Tract 1402.07, Fayette County, Georgia",5521,374,217,401,85,9
1400000US13113140209,"Census Tract 1402.09, Fayette County, Georgia",1913,26,70,30,0,13
1400000US13113140210,"Census Tract 1402.10, Fayette County, Georgia",5708,849,530,194,0,0
1400000US13113140303,"Census Tract 1403.03, Fayette County, Georgia",5254,343,363,176,14,5
1400000US13113140304,"Census Tract 1403.04, Fayette County, Georgia",5861,159,1056,782,0,390
1400000US13113140305,"Census Tract 1403.05, Fayette County, Georgia",5756,1055,247,43,0,0
1400000US13113140307,"Census Tract 1403.07, Fayette County, Georgia",5136,276,306,194,0,0
1400000US13113140308,"Census Tract 1403.08, Fayette County, Georgia",1955,113,100,17,0,0
1400000US13113140309,"Census Tract 1403.09, Fayette County, Georgia",5957,394,503,319,154,0
1400000US13113140403,"Census Tract 1404.03, Fayette County, Georgia",5058,2911,353,81,0,16
1400000US13113140404,"Census Tract 1404.04, Fayette County, Georgia",5730,1571,310,393,39,0
1400000US13113140405,"Census Tract 1404.05, Fayette County, Georgia",4150,1000,304,112,32,21
1400000US13113140406,"Census Tract 1404.06, Fayette County, Georgia",3402,1276,321,344,67,60
1400000US13113140408,"Census Tract 1404.08, Fayette County, Georgia",3651,861,144,74,4,0
1400000US13113140409,"Census Tract 1404.09, Fayette County, Georgia",3157,893,314,97,0,0
1400000US13113140410,"Census Tract 1404.10, Fayette County, Georgia",3902,1782,77,282,192,0
1400000US13113140501,"Census Tract 1405.01, Fayette County, Georgia",6702,526,257,105,0,0
1400000US13113140502,"Census Tract 1405.02, Fayette County, Georgia",3761,57,21,144,7,0
1400000US13115000100,"Census Tract 1, Floyd County, Georgia",4846,0,221,953,0,131
